complaint_id,customer_id,category,status,created_at,resolution_time_hours
CMP0043,CUST0027,BILLING,RESOLVED,2026-07-18T15:12:32,12.55
CMP0044,CUST0039,BILLING,RESOLVED,2026-06-09T22:46:32,15.87
CMP0045,CUST0073,INTERNET_OUTAGE,RESOLVED,2026-04-05T21:57:32,50.83
CMP0046,CUST0009,SLOW_INTERNET,OPEN,2026-08-25T18:43:32,
CMP0047,CUST0070,BILLING,IN_PROGRESS,2026-07-24T18:56:32,
CMP0048,CUST0034,INTERNET_OUTAGE,IN_PROGRESS,2026-04-08T17:26:32,
CMP0049,CUST0027,BILLING,IN_PROGRESS,2026-07-27T08:25:32,
CMP0050,CUST0007,REFUND,ESCALATED,2026-04-04T12:23:32,
CMP0051,CUST0017,BILLING,ESCALATED,2026-07-12T16:43:32,
CMP0052,CUST0002,INTERNET_OUTAGE,RESOLVED,2026-04-08T01:55:32,71.26
CMP0053,CUST0071,REFUND,IN_PROGRESS,2026-04-14T16:09:32,
CMP0054,CUST0006,BILLING,RESOLVED,2026-08-29T08:35:32,60.84
CMP0055,CUST0072,REFUND,OPEN,2026-08-26T15:58:32,
CMP0056,CUST0053,SLOW_INTERNET,IN_PROGRESS,2026-03-23T05:25:32,
CMP0057,CUST0035,INTERNET_OUTAGE,OPEN,2026-04-16T16:40:32,
CMP0058,CUST0026,REFUND,RESOLVED,2026-08-14T08:51:32,29.48
CMP0059,CUST0004,SLOW_INTERNET,OPEN,2026-07-16T20:51:32,
CMP0060,CUST0036,CUSTOMER_SERVICE,IN_PROGRESS,2026-05-21T15:18:32,
CMP0061,CUST0034,CUSTOMER_SERVICE,RESOLVED,2026-04-20T05:18:32,16.1
CMP0062,CUST0056,BILLING,ESCALATED,2026-05-20T15:27:32,
CMP0063,CUST0025,INTERNET_OUTAGE,ESCALATED,2026-05-04T02:01:32,
CMP0064,CUST0026,REFUND,ESCALATED,2026-05-24T00:26:32,
CMP0065,CUST0039,BILLING,IN_PROGRESS,2026-06-19T00:47:32,
CMP0066,CUST0071,SLOW_INTERNET,RESOLVED,2026-04-10T21:15:32,10.91
CMP0067,CUST0079,BILLING,RESOLVED,2026-06-30T07:35:32,54.04
CMP0068,CUST0027,CUSTOMER_SERVICE,ESCALATED,2026-06-04T23:20:32,
CMP0069,CUST0028,REFUND,ESCALATED,2026-06-19T18:29:32,
CMP0070,CUST0080,INTERNET_OUTAGE,RESOLVED,2026-05-18T17:35:32,16.57
CMP0071,CUST0019,INTERNET_OUTAGE,IN_PROGRESS,2026-03-23T03:50:32,
CMP0072,CUST0054,CUSTOMER_SERVICE,ESCALATED,2026-08-27T00:43:32,
CMP0073,CUST0032,INTERNET_OUTAGE,OPEN,2026-04-14T13:52:32,
CMP0074,CUST0067,INTERNET_OUTAGE,OPEN,2026-06-11T06:46:32,
CMP0075,CUST0060,CUSTOMER_SERVICE,OPEN,2026-07-18T05:49:32,
CMP0076,CUST0055,CUSTOMER_SERVICE,IN_PROGRESS,2026-08-16T21:56:32,
CMP0077,CUST0058,SLOW_INTERNET,IN_PROGRESS,2026-05-04T21:33:32,
CMP0078,CUST0036,INTERNET_OUTAGE,ESCALATED,2026-06-06T18:57:32,
CMP0079,CUST0041,CUSTOMER_SERVICE,OPEN,2026-08-28T06:49:32,
CMP0080,CUST0050,SLOW_INTERNET,ESCALATED,2026-07-23T01:02:32,
CMP0081,CUST0043,REFUND,ESCALATED,2026-06-25T11:50:32,
CMP0082,CUST0050,CUSTOMER_SERVICE,ESCALATED,2026-08-30T10:25:32,
CMP0083,CUST0046,REFUND,RESOLVED,2026-05-12T01:47:32,69.95
CMP0084,CUST0035,REFUND,OPEN,2026-06-06T01:19:32,
CMP0085,CUST0022,REFUND,OPEN,2026-08-18T17:21:32,
CMP0086,CUST0073,INTERNET_OUTAGE,RESOLVED,2026-07-17T09:49:32,55.57
CMP0087,CUST0024,BILLING,RESOLVED,2026-03-27T20:49:32,8.92
CMP0088,CUST0042,REFUND,ESCALATED,2026-05-19T03:41:32,
CMP0089,CUST0061,CUSTOMER_SERVICE,IN_PROGRESS,2026-03-22T05:49:32,
CMP0090,CUST0006,INTERNET_OUTAGE,ESCALATED,2026-08-03T00:25:32,
CMP0091,CUST0020,SLOW_INTERNET,OPEN,2026-05-01T03:21:32,
CMP0092,CUST0060,BILLING,RESOLVED,2026-07-24T01:08:32,70.0
CMP0093,CUST0015,SLOW_INTERNET,IN_PROGRESS,2026-08-07T07:21:32,
CMP0094,CUST0040,REFUND,OPEN,2026-07-01T12:49:32,
CMP0095,CUST0032,BILLING,RESOLVED,2026-04-06T06:20:32,60.76
CMP0096,CUST0055,BILLING,IN_PROGRESS,2026-07-17T03:21:32,
CMP0097,CUST0063,REFUND,IN_PROGRESS,2026-04-06T22:14:32,
CMP0098,CUST0056,CUSTOMER_SERVICE,RESOLVED,2026-04-19T18:41:32,55.14
CMP0099,CUST0076,BILLING,OPEN,2026-05-06T13:46:32,
CMP0100,CUST0032,REFUND,RESOLVED,2026-08-02T08:00:32,35.69
CMP0101,CUST0042,REFUND,OPEN,2026-04-20T19:36:32,
CMP0102,CUST0036,CUSTOMER_SERVICE,RESOLVED,2026-08-25T23:18:32,63.39
CMP0103,CUST0011,REFUND,RESOLVED,2026-05-01T15:38:32,18.0
CMP0104,CUST0063,INTERNET_OUTAGE,IN_PROGRESS,2026-06-08T07:14:32,
CMP0105,CUST0032,CUSTOMER_SERVICE,OPEN,2026-05-13T10:58:32,
CMP0106,CUST0045,CUSTOMER_SERVICE,OPEN,2026-06-04T04:11:32,
CMP0107,CUST0035,BILLING,ESCALATED,2026-05-13T12:47:32,
CMP0108,CUST0016,CUSTOMER_SERVICE,OPEN,2026-07-31T22:49:32,
CMP0109,CUST0036,CUSTOMER_SERVICE,IN_PROGRESS,2026-07-28T14:53:32,
CMP0110,CUST0030,SLOW_INTERNET,IN_PROGRESS,2026-05-23T09:50:32,
CMP0111,CUST0017,INTERNET_OUTAGE,ESCALATED,2026-05-07T15:37:32,
CMP0112,CUST0014,INTERNET_OUTAGE,IN_PROGRESS,2026-08-24T14:06:32,
CMP0113,CUST0044,INTERNET_OUTAGE,RESOLVED,2026-04-21T06:37:32,38.46
CMP0114,CUST0052,INTERNET_OUTAGE,ESCALATED,2026-06-16T05:36:32,
CMP0115,CUST0039,SLOW_INTERNET,IN_PROGRESS,2026-04-03T05:17:32,
CMP0116,CUST0049,REFUND,IN_PROGRESS,2026-06-08T17:27:32,
CMP0117,CUST0080,CUSTOMER_SERVICE,RESOLVED,2026-03-29T16:17:32,29.33
CMP0118,CUST0011,SLOW_INTERNET,RESOLVED,2026-04-16T07:19:32,32.11
CMP0119,CUST0053,CUSTOMER_SERVICE,ESCALATED,2026-06-08T17:24:32,
CMP0120,CUST0037,BILLING,OPEN,2026-07-25T09:52:32,
CMP0121,CUST0034,CUSTOMER_SERVICE,IN_PROGRESS,2026-08-09T03:12:32,
CMP0122,CUST0029,SLOW_INTERNET,IN_PROGRESS,2026-07-14T14:41:32,
CMP0123,CUST0022,BILLING,OPEN,2026-08-10T00:10:32,
CMP0124,CUST0039,REFUND,RESOLVED,2026-07-24T02:18:32,2.49
CMP0125,CUST0077,REFUND,IN_PROGRESS,2026-03-25T23:17:32,
CMP0126,CUST0030,CUSTOMER_SERVICE,IN_PROGRESS,2026-09-09T19:47:32,
CMP0127,CUST0061,REFUND,OPEN,2026-06-21T04:31:32,
CMP0128,CUST0063,INTERNET_OUTAGE,OPEN,2026-09-11T03:00:32,
CMP0129,CUST0042,INTERNET_OUTAGE,OPEN,2026-07-18T16:59:32,
CMP0130,CUST0037,REFUND,IN_PROGRESS,2026-07-17T08:00:32,
CMP0131,CUST0033,INTERNET_OUTAGE,OPEN,2026-05-16T13:32:32,
CMP0132,CUST0060,INTERNET_OUTAGE,OPEN,2026-06-01T22:38:32,
CMP0133,CUST0007,BILLING,RESOLVED,2026-04-24T18:29:32,6.03
CMP0134,CUST0016,CUSTOMER_SERVICE,IN_PROGRESS,2026-03-23T23:15:32,
CMP0135,CUST0002,REFUND,RESOLVED,2026-06-27T05:57:32,48.5
CMP0136,CUST0016,SLOW_INTERNET,IN_PROGRESS,2026-07-14T15:01:32,
CMP0137,CUST0054,REFUND,IN_PROGRESS,2026-08-17T16:05:32,
CMP0138,CUST0019,SLOW_INTERNET,ESCALATED,2026-05-27T13:02:32,
CMP0139,CUST0044,CUSTOMER_SERVICE,IN_PROGRESS,2026-09-04T18:55:32,
CMP0140,CUST0076,REFUND,ESCALATED,2026-07-02T06:51:32,
CMP0141,CUST0043,CUSTOMER_SERVICE,ESCALATED,2026-06-27T04:29:32,
CMP0142,CUST0031,REFUND,IN_PROGRESS,2026-06-30T19:21:32,
CMP0143,CUST0061,REFUND,OPEN,2026-07-25T02:19:32,
CMP0144,CUST0017,CUSTOMER_SERVICE,OPEN,2026-06-18T03:40:32,
CMP0145,CUST0068,REFUND,ESCALATED,2026-08-31T10:54:32,
CMP0146,CUST0010,BILLING,RESOLVED,2026-06-12T04:22:32,31.07
CMP0147,CUST0043,CUSTOMER_SERVICE,ESCALATED,2026-08-20T21:04:32,
CMP0148,CUST0070,CUSTOMER_SERVICE,OPEN,2026-03-25T05:58:32,
CMP0149,CUST0012,INTERNET_OUTAGE,OPEN,2026-06-05T17:11:32,
CMP0150,CUST0004,BILLING,OPEN,2026-03-27T02:04:32,
CMP0151,CUST0056,SLOW_INTERNET,ESCALATED,2026-04-14T05:08:32,
CMP0152,CUST0011,REFUND,RESOLVED,2026-07-07T16:02:32,57.84
CMP0153,CUST0060,BILLING,OPEN,2026-07-12T20:10:32,
CMP0154,CUST0060,BILLING,IN_PROGRESS,2026-08-29T18:34:32,
CMP0155,CUST0076,REFUND,IN_PROGRESS,2026-05-12T04:09:32,
CMP0156,CUST0050,REFUND,IN_PROGRESS,2026-08-21T01:24:32,
CMP0157,CUST0046,BILLING,ESCALATED,2026-07-01T08:31:32,
CMP0158,CUST0036,CUSTOMER_SERVICE,IN_PROGRESS,2026-03-20T04:30:32,
CMP0159,CUST0078,BILLING,ESCALATED,2026-08-11T16:49:32,
CMP0160,CUST0013,INTERNET_OUTAGE,IN_PROGRESS,2026-08-30T04:09:32,
CMP0161,CUST0047,SLOW_INTERNET,RESOLVED,2026-07-30T00:51:32,33.85
CMP0162,CUST0023,SLOW_INTERNET,OPEN,2026-04-24T06:25:32,
CMP0163,CUST0062,BILLING,ESCALATED,2026-09-10T19:41:32,
CMP0164,CUST0019,SLOW_INTERNET,OPEN,2026-08-03T00:04:32,
CMP0165,CUST0002,CUSTOMER_SERVICE,OPEN,2026-05-05T20:34:32,
CMP0166,CUST0075,BILLING,OPEN,2026-05-27T01:51:32,
CMP0167,CUST0080,CUSTOMER_SERVICE,OPEN,2026-08-26T16:24:32,
CMP0168,CUST0060,BILLING,IN_PROGRESS,2026-08-31T06:18:32,
CMP0169,CUST0005,REFUND,IN_PROGRESS,2026-05-13T02:55:32,
CMP0170,CUST0018,REFUND,ESCALATED,2026-05-28T11:09:32,
CMP0171,CUST0054,INTERNET_OUTAGE,ESCALATED,2026-07-15T22:31:32,
CMP0172,CUST0048,REFUND,ESCALATED,2026-04-27T06:23:32,
CMP0173,CUST0048,BILLING,IN_PROGRESS,2026-06-25T19:56:32,
CMP0174,CUST0016,REFUND,ESCALATED,2026-09-07T11:25:32,
CMP0175,CUST0043,SLOW_INTERNET,OPEN,2026-05-02T01:18:32,
CMP0176,CUST0028,SLOW_INTERNET,IN_PROGRESS,2026-08-13T17:24:32,
CMP0177,CUST0036,SLOW_INTERNET,ESCALATED,2026-08-21T23:34:32,
CMP0178,CUST0004,INTERNET_OUTAGE,OPEN,2026-04-11T16:59:32,
CMP0179,CUST0003,BILLING,ESCALATED,2026-04-19T10:25:32,
CMP0180,CUST0015,INTERNET_OUTAGE,RESOLVED,2026-08-01T10:59:32,66.78
CMP0181,CUST0076,REFUND,ESCALATED,2026-04-07T13:35:32,
CMP0182,CUST0004,REFUND,RESOLVED,2026-03-29T18:53:32,31.03
CMP0183,CUST0063,REFUND,ESCALATED,2026-07-26T09:39:32,
CMP0184,CUST0019,SLOW_INTERNET,IN_PROGRESS,2026-03-30T16:06:32,
CMP0185,CUST0068,REFUND,IN_PROGRESS,2026-05-11T09:33:32,
CMP0186,CUST0071,SLOW_INTERNET,RESOLVED,2026-07-27T22:31:32,16.46
CMP0187,CUST0044,REFUND,OPEN,2026-08-16T08:10:32,
CMP0188,CUST0041,BILLING,OPEN,2026-06-04T09:41:32,
CMP0189,CUST0009,INTERNET_OUTAGE,RESOLVED,2026-04-04T07:42:32,5.06
CMP0190,CUST0017,INTERNET_OUTAGE,ESCALATED,2026-06-27T23:57:32,
CMP0191,CUST0055,INTERNET_OUTAGE,IN_PROGRESS,2026-08-23T17:53:32,
CMP0192,CUST0074,SLOW_INTERNET,OPEN,2026-06-19T02:03:32,
CMP0193,CUST0045,CUSTOMER_SERVICE,OPEN,2026-08-19T14:37:32,
CMP0194,CUST0029,REFUND,IN_PROGRESS,2026-08-12T15:56:32,
CMP0195,CUST0035,BILLING,OPEN,2026-07-24T15:16:32,
CMP0196,CUST0019,REFUND,OPEN,2026-06-29T19:25:32,
CMP0197,CUST0068,REFUND,IN_PROGRESS,2026-04-26T21:03:32,
CMP0198,CUST0048,BILLING,ESCALATED,2026-05-14T10:41:32,
CMP0199,CUST0080,INTERNET_OUTAGE,OPEN,2026-03-27T18:32:32,
CMP0200,CUST0063,REFUND,IN_PROGRESS,2026-07-07T05:29:32,
CMP0201,C0001,INTERNET_OUTAGE,OPEN,2026-09-05T17:08:32,
CMP0202,C0001,INTERNET_OUTAGE,OPEN,2026-09-06T17:08:32,
CMP0203,C0001,INTERNET_OUTAGE,ESCALATED,2026-09-07T17:08:32,
CMP0204,C0002,SLOW_INTERNET,OPEN,2026-09-05T17:08:32,
CMP0205,C0002,SLOW_INTERNET,OPEN,2026-09-06T17:08:32,
CMP0206,C0002,SLOW_INTERNET,ESCALATED,2026-09-07T17:08:32,
CMP0207,C0003,BILLING,OPEN,2026-09-05T17:08:32,
CMP0208,C0003,BILLING,OPEN,2026-09-06T17:08:32,
CMP0209,C0003,BILLING,ESCALATED,2026-09-07T17:08:32,
